,Tanggal (UTC),Jenis,Bujur,Lintang
904,37:45.0,Negative Cloud to Ground,"135,5024721","-3,057456916"
905,37:45.0,Negative Cloud to Ground,"135,4877552","-3,046056829"
906,37:46.0,Negative Cloud to Ground,"135,5389455","-3,054597131"
907,37:55.0,Positive Cloud to Ground,"135,4905188","-3,295729514"
908,37:55.0,Negative Cloud to Ground,"135,4845399","-3,303563533"
909,38:43.0,Positive Cloud to Ground,"135,4887848","-3,265704465"
910,38:44.0,Negative Cloud to Ground,"135,4922648","-3,265322263"
911,40:15.0,Intra/Inter Cloud,"135,4845882","-3,323518156"
912,40:37.0,Intra/Inter Cloud,"135,5090881","-3,205651551"
913,40:52.0,Intra/Inter Cloud,"135,5200174","-3,070344658"
914,42:06.0,Intra/Inter Cloud,"135,5370784","-2,966909379"
915,42:06.0,Intra/Inter Cloud,"135,4723148","-3,272143638"
916,42:06.0,Negative Cloud to Ground,"135,482308","-3,269436204"
917,42:06.0,Negative Cloud to Ground,"135,476445","-3,271501755"
918,42:06.0,Negative Cloud to Ground,"135,4849757","-3,271541518"
919,42:29.0,Positive Cloud to Ground,"135,4893352","-3,300230733"
920,42:58.0,Intra/Inter Cloud,"135,4986234","-3,009966323"
921,42:58.0,Negative Cloud to Ground,"135,4679612","-3,004547125"
922,44:04.0,Negative Cloud to Ground,"135,4780355","-3,330209507"
923,44:04.0,Negative Cloud to Ground,"135,4853064","-3,327567269"
924,44:23.0,Negative Cloud to Ground,"135,5049842","-3,199189731"
925,46:12.0,Positive Cloud to Ground,"135,4642708","-3,302648498"
926,46:24.0,Intra/Inter Cloud,"135,4717286","-3,275148838"
927,46:24.0,Negative Cloud to Ground,"135,4635182","-3,273351878"
928,46:24.0,Negative Cloud to Ground,"135,4776042","-3,275891614"
929,46:25.0,Negative Cloud to Ground,"135,4676668","-3,265875746"
930,46:48.0,Intra/Inter Cloud,"135,473873","-3,299681808"
931,46:48.0,Negative Cloud to Ground,"135,4881427","-3,301168816"
932,47:27.0,Negative Cloud to Ground,"135,4736397","-3,203631052"
933,47:27.0,Negative Cloud to Ground,"135,5140874","-3,198831737"
934,48:02.0,Intra/Inter Cloud,"135,512575","-3,014690649"
935,48:02.0,Negative Cloud to Ground,"135,4683465","-3,006924995"
936,48:02.0,Negative Cloud to Ground,"135,4907045","-3,010652837"
937,48:39.0,Intra/Inter Cloud,"135,4776337","-3,229154893"
938,48:54.0,Intra/Inter Cloud,"135,4923011","-3,099545088"
939,48:54.0,Negative Cloud to Ground,"135,4576872","-3,10095684"
940,48:55.0,Negative Cloud to Ground,"135,4491443","-3,103189944"
941,50:06.0,Intra/Inter Cloud,"135,4549973","-3,270976259"
942,50:06.0,Intra/Inter Cloud,"135,4734077","-3,241916448"
943,50:19.0,Intra/Inter Cloud,"135,4815141","-3,101271302"
944,50:19.0,Negative Cloud to Ground,"135,4829905","-3,088314996"
945,50:19.0,Negative Cloud to Ground,"135,5011441","-3,094104696"
946,50:19.0,Negative Cloud to Ground,"135,4655332","-3,091419732"
947,50:40.0,Positive Cloud to Ground,"135,4903892","-3,263122334"
948,51:04.0,Intra/Inter Cloud,"135,4850124","-3,077747694"
949,51:05.0,Negative Cloud to Ground,"135,4387157","-3,081537721"
950,51:17.0,Intra/Inter Cloud,"135,4837715","-3,26102602"
951,51:26.0,Positive Cloud to Ground,"135,4969249","-3,183882223"
952,52:29.0,Intra/Inter Cloud,"135,480364","-3,025162121"
953,52:29.0,Negative Cloud to Ground,"135,4541788","-3,02034153"
954,52:40.0,Intra/Inter Cloud,"135,5147098","-3,214096282"
955,52:40.0,Intra/Inter Cloud,"135,4935789","-3,172676349"
956,53:09.0,Negative Cloud to Ground,"135,5138306","-3,003215254"
957,53:09.0,Negative Cloud to Ground,"135,4656406","-2,993699836"
958,53:22.0,Negative Cloud to Ground,"135,4344107","-3,127547748"
959,53:46.0,Negative Cloud to Ground,"135,4856031","-3,07314027"
960,53:46.0,Negative Cloud to Ground,"135,5105285","-3,071894691"
961,53:46.0,Negative Cloud to Ground,"135,4671769","-3,065326454"
962,54:07.0,Intra/Inter Cloud,"135,4871983","-3,19447176"
963,54:29.0,Intra/Inter Cloud,"135,4878053","-3,179278655"
964,54:29.0,Negative Cloud to Ground,"135,5180874","-3,176345382"
965,54:30.0,Intra/Inter Cloud,"135,4731583","-3,254862014"
966,54:30.0,Negative Cloud to Ground,"135,4522348","-3,26167567"
967,55:30.0,Positive Cloud to Ground,"135,4787383","-3,032167848"
968,55:30.0,Negative Cloud to Ground,"135,4588654","-3,017077377"
969,56:05.0,Intra/Inter Cloud,"135,4733434","-3,020594758"
970,56:05.0,Negative Cloud to Ground,"135,4505162","-3,013674245"
971,56:05.0,Negative Cloud to Ground,"135,4687942","-3,011523334"
972,56:05.0,Negative Cloud to Ground,"135,4311167","-3,016850307"
973,56:05.0,Negative Cloud to Ground,"135,4767906","-3,009010844"
974,56:05.0,Negative Cloud to Ground,"135,4470992","-3,014672381"
975,56:05.0,Negative Cloud to Ground,"135,4358524","-3,008601197"
976,56:05.0,Negative Cloud to Ground,"135,4851005","-3,006219838"
977,56:05.0,Negative Cloud to Ground,"135,4671502","-3,01183307"
978,56:06.0,Negative Cloud to Ground,"135,4889919","-3,000234241"
979,56:06.0,Negative Cloud to Ground,"135,4598176","-2,999499519"
980,56:06.0,Negative Cloud to Ground,"135,4499662","-3,004106786"
981,57:05.0,Intra/Inter Cloud,"135,5038528","-3,148706216"
982,57:12.0,Intra/Inter Cloud,"135,4758214","-2,870305072"
983,57:44.0,Intra/Inter Cloud,"135,4728896","-3,070900604"
984,57:44.0,Negative Cloud to Ground,"135,4479574","-3,063036244"
985,58:01.0,Intra/Inter Cloud,"135,4764551","-3,205203137"
986,58:37.0,Intra/Inter Cloud,"135,4676489","-3,182432735"
987,58:57.0,Intra/Inter Cloud,"135,4916611","-2,997832107"
988,59:20.0,Intra/Inter Cloud,"135,4632444","-2,963743727"
989,59:40.0,Negative Cloud to Ground,"135,4630782","-2,947070579"
990,59:40.0,Negative Cloud to Ground,"135,506831","-2,940793608"
991,59:40.0,Negative Cloud to Ground,"135,4913363","-2,938611343"
992,59:40.0,Negative Cloud to Ground,"135,4204206","-2,945762902"
993,00:46.0,Negative Cloud to Ground,"135,5060318","-2,982041249"
994,00:46.0,Negative Cloud to Ground,"135,4758689","-2,970137149"
995,00:46.0,Negative Cloud to Ground,"135,4496059","-2,97334666"
996,01:11.0,Intra/Inter Cloud,"135,4850593","-2,967525051"
997,01:11.0,Negative Cloud to Ground,"135,4897674","-2,960447708"
998,01:11.0,Negative Cloud to Ground,"135,4777254","-2,9580363"
999,01:45.0,Negative Cloud to Ground,"135,491792","-2,987148781"
1000,01:45.0,Negative Cloud to Ground,"135,4726483","-2,984666646"
1001,01:45.0,Negative Cloud to Ground,"135,4614311","-2,986654203"
1002,02:27.0,Negative Cloud to Ground,"135,4683221","-2,970419539"
1003,02:27.0,Negative Cloud to Ground,"135,4398602","-2,977806239"
1004,02:28.0,Negative Cloud to Ground,"135,4615863","-2,966440955"
1005,02:28.0,Negative Cloud to Ground,"135,4104138","-2,970029526"
1006,03:15.0,Negative Cloud to Ground,"135,4647469","-2,98569663"
1007,03:48.0,Intra/Inter Cloud,"135,4505117","-2,800841145"
1008,03:48.0,Negative Cloud to Ground,"135,5137226","-2,799946104"
1009,03:48.0,Negative Cloud to Ground,"135,4059159","-2,802664904"
1010,03:48.0,Negative Cloud to Ground,"135,4223712","-2,803098253"
1011,03:48.0,Negative Cloud to Ground,"135,4116927","-2,795927544"
1012,04:06.0,Negative Cloud to Ground,"135,4557681","-2,987465407"
1013,04:07.0,Negative Cloud to Ground,"135,4834409","-2,981640109"
1014,04:41.0,Negative Cloud to Ground,"135,464516","-3,019720553"
1015,04:41.0,Negative Cloud to Ground,"135,4473008","-3,020995042"
1016,04:41.0,Negative Cloud to Ground,"135,4477789","-3,018574324"
1017,05:16.0,Intra/Inter Cloud,"135,4626434","-2,882357255"
1018,05:16.0,Negative Cloud to Ground,"135,5008737","-2,87794057"
1019,05:16.0,Negative Cloud to Ground,"135,4247805","-2,87926119"
1020,05:16.0,Negative Cloud to Ground,"135,4114318","-2,876948972"
1021,05:17.0,Negative Cloud to Ground,"135,491431","-2,878526484"
1022,05:42.0,Intra/Inter Cloud,"135,4652643","-3,107727695"
1023,05:42.0,Negative Cloud to Ground,"135,5321205","-3,112261134"
1024,05:42.0,Negative Cloud to Ground,"135,4865773","-3,105425084"
1025,05:54.0,Intra/Inter Cloud,"135,481655","-2,81367938"
1026,06:02.0,Positive Cloud to Ground,"135,4670763","-3,15724281"
1027,06:42.0,Intra/Inter Cloud,"135,5015928","-3,121909228"
1028,07:07.0,Intra/Inter Cloud,"135,4569886","-3,021021387"
1029,07:08.0,Negative Cloud to Ground,"135,4189866","-3,019582561"
1030,07:08.0,Negative Cloud to Ground,"135,4173451","-3,027651692"
1031,07:08.0,Negative Cloud to Ground,"135,4513092","-3,012508564"
1032,07:08.0,Negative Cloud to Ground,"135,4253087","-3,015725222"
1033,07:21.0,Intra/Inter Cloud,"135,4224655","-3,08036226"
1034,07:21.0,Intra/Inter Cloud,"135,4837575","-3,099733318"
1035,07:21.0,Negative Cloud to Ground,"135,4926818","-3,091178798"
1036,07:21.0,Negative Cloud to Ground,"135,4607693","-3,095077201"
1037,07:21.0,Negative Cloud to Ground,"135,448444","-3,090037039"
1038,07:22.0,Negative Cloud to Ground,"135,4617677","-3,090163415"
1039,08:07.0,Intra/Inter Cloud,"135,4418989","-2,874890669"
1040,08:07.0,Negative Cloud to Ground,"135,4827359","-2,870672264"
1041,08:07.0,Negative Cloud to Ground,"135,4287367","-2,874512529"
1042,08:07.0,Negative Cloud to Ground,"135,4809156","-2,876958739"
1043,08:07.0,Negative Cloud to Ground,"135,4415555","-2,865689073"
1044,08:07.0,Negative Cloud to Ground,"135,4675915","-2,865056324"
1045,08:07.0,Negative Cloud to Ground,"135,4730054","-2,868943485"
1046,08:34.0,Intra/Inter Cloud,"135,4708161","-3,115313934"
1047,08:45.0,Intra/Inter Cloud,"135,4615544","-2,882511274"
1048,08:52.0,Negative Cloud to Ground,"135,4373681","-3,067896822"
1049,08:53.0,Negative Cloud to Ground,"135,4493346","-3,062126219"
1050,09:20.0,Negative Cloud to Ground,"135,6180293","-2,888666288"
1051,09:20.0,Negative Cloud to Ground,"135,4569041","-2,867243616"
1052,09:21.0,Negative Cloud to Ground,"135,4360335","-2,868141162"
1053,09:21.0,Negative Cloud to Ground,"135,460879","-2,858990869"
1054,09:38.0,Intra/Inter Cloud,"135,4710528","-3,10250471"
1055,09:46.0,Negative Cloud to Ground,"135,4842329","-2,890498721"
1056,09:47.0,Negative Cloud to Ground,"135,4435037","-2,890478928"
1057,10:14.0,Negative Cloud to Ground,"135,493637","-2,883751772"
1058,10:14.0,Negative Cloud to Ground,"135,4633766","-2,881020297"
1059,10:15.0,Negative Cloud to Ground,"135,4102225","-2,890628203"
1060,10:15.0,Negative Cloud to Ground,"135,4979576","-2,870720858"
1061,10:15.0,Negative Cloud to Ground,"135,4704605","-2,877794131"
1062,10:15.0,Negative Cloud to Ground,"135,5183692","-2,876644765"
1063,10:15.0,Negative Cloud to Ground,"135,4417667","-2,878257325"
1064,10:41.0,Negative Cloud to Ground,"135,4258979","-3,068512949"
1065,10:41.0,Negative Cloud to Ground,"135,5062783","-3,068169041"
1066,10:44.0,Negative Cloud to Ground,"135,4585087","-2,830691093"
1067,10:44.0,Negative Cloud to Ground,"135,4592278","-2,828194235"
1068,10:54.0,Intra/Inter Cloud,"135,4594066","-3,046254282"
1069,11:11.0,Intra/Inter Cloud,"135,4771548","-2,951269197"
1070,11:11.0,Negative Cloud to Ground,"135,4336321","-2,956863413"
1071,11:11.0,Negative Cloud to Ground,"135,428831","-2,954809696"
1072,11:11.0,Negative Cloud to Ground,"135,4535909","-2,952940205"
1073,11:19.0,Intra/Inter Cloud,"135,562959","-3,031031807"
1074,12:04.0,Negative Cloud to Ground,"135,4598811","-2,765508178"
1075,12:04.0,Negative Cloud to Ground,"135,4248589","-2,764859313"
