Tanggal (UTC),Jenis,Bujur,Lintang
44:51.0,Intra/Inter Cloud,"136,0050012","-3,283765262"
44:51.0,Intra/Inter Cloud,"135,9538136","-3,243354339"
45:23.0,Positive Cloud to Ground,"136,1353736","-3,153848186"
45:23.0,Intra/Inter Cloud,"136,1224981","-2,996817935"
45:24.0,Intra/Inter Cloud,"135,9756414","-3,194340172"
45:24.0,Intra/Inter Cloud,"135,9953758","-3,318219533"
45:40.0,Intra/Inter Cloud,"136,0382812","-3,195305529"
45:40.0,Intra/Inter Cloud,"136,0121218","-3,150763216"
45:40.0,Intra/Inter Cloud,"136,2198935","-3,184486462"
45:41.0,Intra/Inter Cloud,"136,1138532","-3,222843131"
46:24.0,Positive Cloud to Ground,"136,1100255","-3,201956245"
46:24.0,Intra/Inter Cloud,"135,9587788","-3,343356059"
46:24.0,Intra/Inter Cloud,"136,0535256","-3,27359512"
46:24.0,Intra/Inter Cloud,"136,0153511","-2,936410682"
46:24.0,Negative Cloud to Ground,"135,9231604","-3,420141764"
46:24.0,Positive Cloud to Ground,"135,9591635","-3,284259521"
46:44.0,Positive Cloud to Ground,"136,1381142","-3,222576426"
46:45.0,Intra/Inter Cloud,"136,0109267","-3,36441535"
46:46.0,Positive Cloud to Ground,"135,9894349","-3,329272376"
46:57.0,Intra/Inter Cloud,"136,0730327","-3,166108052"
47:06.0,Intra/Inter Cloud,"136,0284789","-3,266988981"
47:06.0,Intra/Inter Cloud,"136,0639279","-3,209888647"
47:07.0,Intra/Inter Cloud,"136,0479664","-3,443523037"
47:13.0,Intra/Inter Cloud,"136,0493772","-3,259266236"
47:13.0,Intra/Inter Cloud,"136,1491248","-3,014723488"
47:13.0,Intra/Inter Cloud,"136,1738663","-3,155503688"
47:13.0,Positive Cloud to Ground,"136,273237","-3,176897981"
47:13.0,Intra/Inter Cloud,"136,0046426","-3,271007449"
47:50.0,Intra/Inter Cloud,"136,1681019","-3,107307795"
47:51.0,Intra/Inter Cloud,"135,996068","-3,241971807"
47:51.0,Positive Cloud to Ground,"136,1500217","-3,24318373"
47:51.0,Intra/Inter Cloud,"136,0714372","-3,094447201"
49:13.0,Intra/Inter Cloud,"136,1973602","-2,982738555"
52:02.0,Intra/Inter Cloud,"136,2317267","-3,068738508"
52:02.0,Intra/Inter Cloud,"136,0142689","-3,116382166"
52:03.0,Intra/Inter Cloud,"136,0400771","-3,100957251"
52:03.0,Intra/Inter Cloud,"136,1607126","-3,109293579"
52:03.0,Intra/Inter Cloud,"136,4326779","-3,002230811"
52:03.0,Negative Cloud to Ground,"136,3495925","-3,217907431"
52:03.0,Intra/Inter Cloud,"136,4719927","-3,100988755"
52:03.0,Negative Cloud to Ground,"136,2230713","-3,240696506"
52:44.0,Intra/Inter Cloud,"136,2588155","-3,270639326"
52:44.0,Positive Cloud to Ground,"136,180818","-3,251626257"
52:44.0,Intra/Inter Cloud,"136,1424591","-3,252151416"
52:45.0,Intra/Inter Cloud,"136,1963092","-3,244507143"
52:49.0,Negative Cloud to Ground,"136,3207894","-3,129291585"
52:50.0,Negative Cloud to Ground,"136,3246923","-3,137995237"
52:50.0,Intra/Inter Cloud,"136,2276315","-3,112931673"
52:50.0,Positive Cloud to Ground,"136,2656647","-3,189709038"
52:50.0,Intra/Inter Cloud,"136,2972168","-3,261829878"
53:19.0,Intra/Inter Cloud,"136,1125007","-3,314448279"
53:45.0,Intra/Inter Cloud,"136,1979677","-3,286105269"
53:46.0,Intra/Inter Cloud,"136,1888618","-3,228062854"
54:06.0,Intra/Inter Cloud,"136,1855484","-3,040818805"
54:16.0,Intra/Inter Cloud,"136,3533279","-3,037444091"
55:08.0,Intra/Inter Cloud,"136,2115517","-3,229397028"
55:28.0,Intra/Inter Cloud,"136,1851555","-3,258782058"
55:28.0,Intra/Inter Cloud,"136,2690438","-3,197896173"
56:48.0,Intra/Inter Cloud,"136,3200257","-3,106210158"
56:49.0,Intra/Inter Cloud,"136,039397","-3,431686257"
56:58.0,Intra/Inter Cloud,"136,2171565","-3,316538191"
57:56.0,Negative Cloud to Ground,"136,2671068","-3,215025096"
58:04.0,Intra/Inter Cloud,"136,1695352","-3,146864276"
00:58.0,Intra/Inter Cloud,"136,3095679","-3,240421428"
00:59.0,Negative Cloud to Ground,"136,2698643","-3,053276191"
00:59.0,Positive Cloud to Ground,"136,2072205","-3,271166264"
00:59.0,Negative Cloud to Ground,"136,3406376","-3,110215865"
03:17.0,Positive Cloud to Ground,"136,4205649","-3,069891061"
03:17.0,Positive Cloud to Ground,"136,2316152","-3,179586785"
03:53.0,Intra/Inter Cloud,"136,3650088","-3,326198925"
03:53.0,Intra/Inter Cloud,"136,4574438","-3,142913677"
03:53.0,Intra/Inter Cloud,"136,3302133","-3,27142294"
05:54.0,Intra/Inter Cloud,"136,3054588","-3,118273003"
05:54.0,Intra/Inter Cloud,"136,4232828","-3,109034527"
06:58.0,Intra/Inter Cloud,"136,4016055","-3,210133495"
07:00.0,Negative Cloud to Ground,"136,4159071","-3,299876151"
09:30.0,Intra/Inter Cloud,"136,3947131","-3,217796605"
13:30.0,Negative Cloud to Ground,"136,2998348","-3,264116874"
